NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
J04990         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0006955: immune response;GO:0007601: vision;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
K02765         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0006915: apoptosis;GO:0007166: cell surface receptor linked signal transduction;
L04282         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
L06797         GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007399: neurogenesis;GO:0007602: phototransduction;GO:0006915: apoptosis;   GO:0006955: immune response;GO:0007399: neurogenesis;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007242: intracellular signaling cascade;
L08177         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;
L08187         GO:0006955: immune response;GO:0006959: humoral defense mechanism;         GO:0006955: immune response;GO:0006959: humoral defense mechanism;
L09230         GO:0006955: immune response;GO:0007601: vision;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;GO:0007602: phototransduction;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007602: phototransduction;GO:0007155: cell adhesion;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007601: vision;
L13210         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007582: physiological processes;
L14542         GO:0006955: immune response;                                               GO:0006955: immune response;
L14848         GO:0006955: immune response;                                               GO:0006955: immune response;
L17325         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006915: apoptosis;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;
L17330         GO:0006955: immune response;                                               GO:0006955: immune response;
L19593         GO:0006955: immune response;GO:0007601: vision;GO:0006928: cell motility;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0007602: phototransduction;GO:0006928: cell motility;GO:0007601: vision;
L19605         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007399: neurogenesis;
L20688         GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0007155: cell adhesion;   GO:0006955: immune response;GO:0007155: cell adhesion;GO:0000278: mitotic cell cycle;GO:0007242: intracellular signaling cascade;GO:0007048: oncogenesis;
L23333         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;
L28175         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
L36033         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007155: cell adhesion;GO:0007582: physiological processes;GO:0006928: cell motility;
L37036         GO:0006955: immune response;GO:0006928: cell motility;GO:0007267: cell-cell signaling;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
L37362         GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
M12529         GO:0006955: immune response;GO:0006629: lipid metabolism;GO:0007582: physiological processes;   GO:0006955: immune response;GO:0007582: physiological processes;GO:0006629: lipid metabolism;
M13207         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
M13577         GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;
M13982         GO:0006955: immune response;GO:0006928: cell motility;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007602: phototransduction;GO:0006928: cell motility;GO:0007601: vision;
M14058         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006411: protein metabolism and modification;
M15881         GO:0006955: immune response;GO:0008283: cell proliferation;                GO:0006955: immune response;GO:0008283: cell proliferation;
M16973         GO:0006955: immune response;                                               GO:0006955: immune response;
M17733         GO:0006955: immune response;GO:0006411: protein metabolism and modification;   GO:0006955: immune response;
M21121         GO:0006955: immune response;GO:0006810: transport;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006810: transport;GO:0006928: cell motility;
M23178         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0006810: transport;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
M23323         GO:0006955: immune response;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;
M24398         GO:0006955: immune response;GO:0000278: mitotic cell cycle;GO:0006259: DNA metabolism;GO:0000074: cell cycle control;   GO:0006955: immune response;GO:0000074: cell cycle control;GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
M26062         GO:0006955: immune response;GO:0006411: protein metabolism and modification;   GO:0006955: immune response;GO:0006411: protein metabolism and modification;
M26602         GO:0006955: immune response;GO:0006928: cell motility;                     GO:0006955: immune response;GO:0006928: cell motility;
M27436         GO:0006955: immune response;GO:0007582: physiological processes;           GO:0006955: immune response;GO:0007582: physiological processes;
M27492         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
M27533         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006091: energy pathways;GO:0007601: vision;
M28170         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
M29474         GO:0006955: immune response;GO:0007498: mesoderm development;GO:0006259: DNA metabolism;   GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0007498: mesoderm development;
M29696         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007166: cell surface receptor linked signal transduction;GO:0006259: DNA metabolism;   GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
M31523         GO:0006955: immune response;GO:0007048: oncogenesis;GO:0006366: transcription from Pol II promoter;   GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
M31627         GO:0006955: immune response;                                               GO:0006955: immune response;
M31951         GO:0006955: immune response;GO:0006915: apoptosis;                         GO:0006955: immune response;GO:0006915: apoptosis;GO:0007155: cell adhesion;GO:0007242: intracellular signaling cascade;GO:0007048: oncogenesis;
M32011         GO:0006955: immune response;                                               GO:0006955: immune response;
M33195         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006810: transport;
M33552         GO:0006955: immune response;GO:0006928: cell motility;                     GO:0006955: immune response;GO:0006928: cell motility;
M37245         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0000074: cell cycle control;GO:0008283: cell proliferation;
M37271         GO:0006955: immune response;GO:0006810: transport;                         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006810: transport;
M55067         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006091: energy pathways;
M55543         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
M57230         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
M59807         GO:0006955: immune response;GO:0007155: cell adhesion;                     GO:0006955: immune response;GO:0007155: cell adhesion;
M62505         GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007602: phototransduction;   GO:0006955: immune response;GO:0007602: phototransduction;GO:0007601: vision;GO:0007242: intracellular signaling cascade;
M63835         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006412: protein biosynthesis;
M65214         GO:0006955: immune response;GO:0007048: oncogenesis;GO:0006366: transcription from Pol II promoter;   GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
M65290         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007242: intracellular signaling cascade;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0006959: humoral defense mechanism;
M65291         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006959: humoral defense mechanism;
M69039         GO:0006955: immune response;                                               GO:0006955: immune response;
M74447         GO:0006955: immune response;GO:0006810: transport;                         GO:0006955: immune response;GO:0006468: protein phosphorylation;GO:0006810: transport;
M81750         GO:0006955: immune response;                                               GO:0006955: immune response;
M83233         GO:0006955: immune response;GO:0007498: mesoderm development;GO:0006366: transcription from Pol II promoter;   GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007498: mesoderm development;
M83652         GO:0006955: immune response;                                               GO:0006955: immune response;
M84349         GO:0006955: immune response;GO:0007582: physiological processes;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;
M85276         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;GO:0006412: protein biosynthesis;
M88282         GO:0006955: immune response;GO:0007155: cell adhesion;                     GO:0006955: immune response;GO:0007155: cell adhesion;
M89957         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006810: transport;
M90391         GO:0006955: immune response;GO:0006928: cell motility;                     GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006928: cell motility;
M91196         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
S59049         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0007048: oncogenesis;
S74221         GO:0006955: immune response;GO:0007267: cell-cell signaling;               GO:0006955: immune response;GO:0006259: DNA metabolism;GO:0007267: cell-cell signaling;GO:0000278: mitotic cell cycle;
U00921         GO:0006955: immune response;                                               GO:0006955: immune response;
U03397         GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006915: apoptosis;   GO:0006955: immune response;GO:0006915: apoptosis;GO:0008283: cell proliferation;
U03905         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007242: intracellular signaling cascade;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007602: phototransduction;   GO:0007602: phototransduction;
U04343         GO:0006955: immune response;GO:0008283: cell proliferation;                GO:0006955: immune response;GO:0008283: cell proliferation;
U07349         GO:0006955: immune response;GO:0007498: mesoderm development;GO:0007242: intracellular signaling cascade;   GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0007498: mesoderm development;
U07882         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
U08006         GO:0006955: immune response;                                               GO:0006955: immune response;
U09851         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
U10550         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0006915: apoptosis;GO:0007166: cell surface receptor linked signal transduction;
U12255         GO:0006955: immune response;GO:0007582: physiological processes;           GO:0006955: immune response;GO:0007582: physiological processes;
U14407         GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;
U15085         GO:0006955: immune response;                                               GO:0006955: immune response;
U18259         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;
U19142         GO:0006955: immune response;                                               GO:0006955: immune response;
U19495         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007155: cell adhesion;GO:0007582: physiological processes;
U20158         GO:0006955: immune response;GO:0007602: phototransduction;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;
U20350         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007155: cell adhesion;GO:0007582: physiological processes;GO:0006928: cell motility;
U22963         GO:0006955: immune response;                                               GO:0006955: immune response;
U26173         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
U28488         GO:0006955: immune response;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007602: phototransduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007601: vision;
U30245         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;
U32659         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0007267: cell-cell signaling;GO:0006915: apoptosis;   GO:0006955: immune response;GO:0006915: apoptosis;GO:0007267: cell-cell signaling;GO:0006411: protein metabolism and modification;
U33880         GO:0006955: immune response;GO:0007155: cell adhesion;                     GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;
U43185         GO:0006955: immune response;GO:0007242: intracellular signaling cascade;GO:0006366: transcription from Pol II promoter;   GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;
U43672         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006629: lipid metabolism;
U45285         GO:0006955: immune response;GO:0006810: transport;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006810: transport;
U45982         GO:0006955: immune response;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007602: phototransduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006928: cell motility;GO:0007601: vision;
U45983         GO:0006955: immune response;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;GO:0007602: phototransduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007155: cell adhesion;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007601: vision;
U46767         GO:0006955: immune response;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
U49065         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007582: physiological processes;
U50648         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;GO:0008283: cell proliferation;GO:0006915: apoptosis;GO:0006468: protein phosphorylation;   GO:0006955: immune response;GO:0006468: protein phosphorylation;GO:0006915: apoptosis;GO:0008283: cell proliferation;GO:0006412: protein biosynthesis;
U51241         GO:0006955: immune response;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;GO:0007602: phototransduction;   GO:0007602: phototransduction;GO:0007601: vision;
U60800         GO:0006955: immune response;GO:0007155: cell adhesion;GO:0006915: apoptosis;   GO:0006955: immune response;GO:0006915: apoptosis;GO:0007155: cell adhesion;
U64197         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
U67615         GO:0006955: immune response;GO:0007048: oncogenesis;GO:0006810: transport; GO:0006955: immune response;GO:0006810: transport;GO:0007048: oncogenesis;
U68030         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007602: phototransduction;   GO:0007602: phototransduction;GO:0007601: vision;GO:0006959: humoral defense mechanism;
U68031         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007601: vision;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007602: phototransduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006928: cell motility;GO:0007601: vision;GO:0006959: humoral defense mechanism;
U70064         GO:0006955: immune response;GO:0007048: oncogenesis;GO:0006810: transport; GO:0006955: immune response;GO:0006810: transport;GO:0007048: oncogenesis;
U70321         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;
U76764         GO:0006955: immune response;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006928: cell motility;
U77180         GO:0006955: immune response;GO:0006928: cell motility;                     GO:0006955: immune response;GO:0006928: cell motility;GO:0007048: oncogenesis;
U77643         GO:0006955: immune response;GO:0007048: oncogenesis;GO:0007498: mesoderm development;   GO:0006955: immune response;GO:0007498: mesoderm development;GO:0007048: oncogenesis;
U79526         GO:0006955: immune response;GO:0007498: mesoderm development;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007498: mesoderm development;
U83171         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
U83239         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
U83326         GO:0006955: immune response;GO:0007601: vision;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007602: phototransduction;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;   GO:0007582: physiological processes;
U84487         GO:0006955: immune response;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
U85767         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007267: cell-cell signaling;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
U86358         GO:0006955: immune response;GO:0006928: cell motility;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;
U87964         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0000278: mitotic cell cycle;
U93049         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0007242: intracellular signaling cascade;GO:0006810: transport;GO:0006468: protein phosphorylation;   GO:0006955: immune response;GO:0006468: protein phosphorylation;GO:0006810: transport;GO:0007242: intracellular signaling cascade;GO:0006411: protein metabolism and modification;
U93091         GO:0006955: immune response;                                               GO:0006955: immune response;
V01514         GO:0006955: immune response;                                               GO:0006955: immune response;
X01057         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0008283: cell proliferation;GO:0006915: apoptosis;GO:0000074: cell cycle control;   GO:0006955: immune response;GO:0000074: cell cycle control;GO:0006915: apoptosis;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
X03168         GO:0006955: immune response;GO:0007155: cell adhesion;                     GO:0006955: immune response;GO:0007155: cell adhesion;
X03934         GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;
X04145         GO:0006955: immune response;                                               GO:0006955: immune response;
X06948         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007048: oncogenesis;
X07979         GO:0006955: immune response;GO:0007155: cell adhesion;                     GO:0006955: immune response;GO:0007155: cell adhesion;
X15422         GO:0006955: immune response;GO:0006959: humoral defense mechanism;         GO:0006955: immune response;GO:0006959: humoral defense mechanism;
X16354         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0000074: cell cycle control;GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0007242: intracellular signaling cascade;
X16707         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006928: cell motility;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0006928: cell motility;
X52425         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
X53683         GO:0006955: immune response;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006928: cell motility;
X54150         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007602: phototransduction;GO:0007582: physiological processes;GO:0007601: vision;
X57351         GO:0006955: immune response;                                               GO:0006955: immune response;
X57522         GO:0006955: immune response;GO:0006810: transport;                         GO:0006955: immune response;GO:0006810: transport;
X58298         GO:0006955: immune response;GO:0007498: mesoderm development;GO:0007166: cell surface receptor linked signal transduction;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
X58964         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006468: protein phosphorylation;GO:0006411: protein metabolism and modification;
X59770         GO:0006955: immune response;                                               GO:0006955: immune response;
X59871         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
X60708         GO:0006955: immune response;                                               GO:0006955: immune response;
X60992         GO:0006955: immune response;                                               GO:0006955: immune response;
X66171         GO:0006955: immune response;                                               GO:0006955: immune response;
